cycle,time,stage,rank,category,term,selected_cells,nonfinite,abs_max,value,rho,z,source
2168,4.539583333333236,2,1,A_geometric,A_geometric_yy,288,0,700.233323997528,700.233323997528,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,A_hessian,A_hessian_yz,288,0,6.289777899085304,6.289777899085304,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,A_lie,A_lie_yz,288,0,555.0686781203074,555.0686781203074,0.03125,0.21875,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,A_nonlinear,A_nonlinear_xx,288,0,4.989114977368764,-4.989114977368764,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,A_ricci_tensor,A_ricci_tensor_yy,288,0,698.9385428298675,698.9385428298675,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,A_trace_ricci,A_trace_ricci_yy,288,0,11617.817926155381,-11617.817926155381,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,1,1,Gamma_advective,Gamma_advective_z,288,0,7967.801743106273,-7967.801743106273,0.03125,0.21875,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,Gamma_contraction,Gamma_contraction_z,288,0,154604.24976737233,154604.24976737233,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,Gamma_damping,Gamma_damping_z,288,0,16.746473684389215,-16.746473684389215,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,Gamma_ddiv,Gamma_ddiv_x,288,0,3926.055912570804,3926.055912570804,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,Gamma_expansion,Gamma_expansion_z,288,0,65046.08670981019,65046.08670981019,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2168,4.539583333333236,1,1,Gamma_lapse_gradient,Gamma_lapse_gradient_x,288,0,85.91312435389749,-85.91312435389749,0.03125,-0.21875,z4c_rhs_stage_rank1.log
2168,4.539583333333236,2,1,Gamma_second,Gamma_second_z,288,0,36036.93889615769,36036.93889615769,0.03125,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,A_geometric,A_geometric_yy,288,0,6046.511208916007,6046.511208916007,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,A_hessian,A_hessian_xy,288,0,18.714271973574792,18.714271973574792,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,4,1,A_lie,A_lie_yy,288,0,6457.687505539229,-6457.687505539229,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,4,1,A_nonlinear,A_nonlinear_yy,288,0,517.2801390189782,-517.2801390189782,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,A_ricci_tensor,A_ricci_tensor_yy,288,0,6049.4164602132805,6049.4164602132805,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,A_trace_ricci,A_trace_ricci_xx,288,0,276351.6926316805,-276351.6926316805,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,3,1,Gamma_advective,Gamma_advective_z,288,0,21109.843731374604,21109.843731374604,0.05208333333333334,0.21875,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,Gamma_contraction,Gamma_contraction_z,288,0,1397566.373790702,1397566.373790702,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,Gamma_damping,Gamma_damping_z,288,0,105.95531280304465,-105.95531280304465,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,Gamma_ddiv,Gamma_ddiv_z,288,0,19890.905663015645,19890.905663015645,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,Gamma_expansion,Gamma_expansion_z,288,0,533247.1094605909,533247.1094605909,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,2,1,Gamma_lapse_gradient,Gamma_lapse_gradient_z,288,0,598.7704090176346,598.7704090176346,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2169,4.541666666666569,4,1,Gamma_second,Gamma_second_z,288,0,50196.45909086814,50196.45909086814,0.03125,0.23958333333333334,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,A_geometric,A_geometric_xx,288,0,16802.035654998763,16802.035654998763,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,A_hessian,A_hessian_xy,288,0,10.452291005470897,-10.452291005470897,0.05208333333333334,-0.23958333333333331,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,4,1,A_lie,A_lie_zz,288,0,7316.7765329295,-7316.7765329295,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,4,1,A_nonlinear,A_nonlinear_yy,288,0,3056.754224357974,-3056.754224357974,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,A_ricci_tensor,A_ricci_tensor_xx,288,0,16803.925608430018,16803.925608430018,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,A_trace_ricci,A_trace_ricci_yy,288,0,732652.2744565278,-732652.2744565278,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,Gamma_advective,Gamma_advective_x,288,0,19270.133909160995,19270.133909160995,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,Gamma_contraction,Gamma_contraction_z,288,0,475894.4464503031,475894.4464503031,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,Gamma_damping,Gamma_damping_x,288,0,83.75421237189327,83.75421237189327,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,Gamma_ddiv,Gamma_ddiv_x,288,0,36638.94668740465,36638.94668740465,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,Gamma_expansion,Gamma_expansion_x,288,0,449009.5710172665,-449009.5710172665,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,4,1,Gamma_lapse_gradient,Gamma_lapse_gradient_z,288,0,548.6332398438673,548.6332398438673,0.05208333333333334,0.23958333333333334,z4c_rhs_stage_rank1.log
2170,4.5437499999999025,2,1,Gamma_second,Gamma_second_x,288,0,157565.91855227482,157565.91855227482,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,3,1,A_geometric,A_geometric_xx,288,0,10069.737849916533,10069.737849916533,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,1,1,A_hessian,A_hessian_yy,288,0,6.188156925478407,-6.188156925478407,0.05208333333333334,0.3020833333333333,z4c_rhs_stage_rank1.log
2171,4.545833333333236,4,1,A_lie,A_lie_yy,288,0,35475.673916607,-35475.673916607,0.07291666666666669,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,4,1,A_nonlinear,A_nonlinear_yy,288,0,35740.39288607396,-35740.39288607396,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,3,1,A_ricci_tensor,A_ricci_tensor_xx,288,0,10071.20515032141,10071.20515032141,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,3,1,A_trace_ricci,A_trace_ricci_yy,288,0,398141.8324039202,-398141.8324039202,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,4,1,Gamma_advective,Gamma_advective_z,288,0,41405.80674168766,-41405.80674168766,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,2,1,Gamma_contraction,Gamma_contraction_x,288,0,1124847.6066414663,1124847.6066414663,0.03125,-0.23958333333333331,z4c_rhs_stage_rank1.log
2171,4.545833333333236,3,1,Gamma_damping,Gamma_damping_x,288,0,49.79872806388641,49.79872806388641,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,3,1,Gamma_ddiv,Gamma_ddiv_x,288,0,26260.257462101355,26260.257462101355,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,2,1,Gamma_expansion,Gamma_expansion_x,288,0,990392.3347730559,-990392.3347730559,0.03125,-0.23958333333333331,z4c_rhs_stage_rank1.log
2171,4.545833333333236,4,1,Gamma_lapse_gradient,Gamma_lapse_gradient_z,288,0,200.3889986145341,-200.3889986145341,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2171,4.545833333333236,2,1,Gamma_second,Gamma_second_z,288,0,129032.32330496646,129032.32330496646,0.03125,-0.23958333333333331,z4c_rhs_stage_rank1.log
2172,4.547916666666569,1,1,A_geometric,A_geometric_xx,288,0,6901.262573246089,6901.262573246089,0.05208333333333334,-0.28125,z4c_rhs_stage_rank1.log
2172,4.547916666666569,1,1,A_hessian,A_hessian_yy,288,0,5.685440716413021,-5.685440716413021,0.05208333333333334,0.3020833333333333,z4c_rhs_stage_rank1.log
2172,4.547916666666569,4,1,A_lie,A_lie_yy,288,0,53688.95271806349,53688.95271806349,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2172,4.547916666666569,1,1,A_nonlinear,A_nonlinear_yy,288,0,9970.383236423828,-9970.383236423828,0.05208333333333334,0.28125,z4c_rhs_stage_rank1.log
2172,4.547916666666569,1,1,A_ricci_tensor,A_ricci_tensor_xx,288,0,6903.766154064455,6903.766154064455,0.05208333333333334,-0.28125,z4c_rhs_stage_rank1.log
2172,4.547916666666569,1,1,A_trace_ricci,A_trace_ricci_yy,288,0,275417.9846498306,275417.9846498306,0.05208333333333334,-0.28125,z4c_rhs_stage_rank1.log
