cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
320,0.02,3,full,H,2.2099999999999471,4096,0.57754430430282555,0.4317016961368334,0.2903939861133143,0.41139405602903073,0.41139405602903073,61,3,0,2,3,0.9296875,1.0257812499999999,0.84999999999999998
320,0.02,3,full,Mx,2.2099999999999471,4096,0.0096046102306087677,0.0071784594138529804,0.0048287543505056733,0.0068393952825530329,0.0068393952825530329,13,3,0,1,0,0.3828125,0.35546875,0.84999999999999998
320,0.02,3,full,My,2.2099999999999471,4096,0.010446399779030177,0.0078088383327220073,0.005252793099137682,0.0074299511816718171,0.0074299511816718171,11,3,0,3,4,0.1953125,0.55859375000000011,0.84999999999999998
320,0.02,3,full,Mz,2.2099999999999471,4096,0.010139038304319314,0.0075792756049904908,0.0050983724976771056,0.0072140651576248997,-0.0072140651576248997,44,3,0,0,6,0.3515625,0.98515624999999996,0.84999999999999998
320,0.02,3,full,alpha_Mx,2.2099999999999471,4096,0.0096046557681263751,0.0071785093256100411,0.0048287879247867491,0.0068292577631855226,-0.0068292577631855226,0,3,0,2,7,0.1171875,0.050781249999999993,0.84999999999999998
320,0.02,3,full,alpha_My,2.2099999999999471,4096,0.010446433921333834,0.0078088782600242053,0.0052528199571476083,0.0074377142057231241,-0.0074377142057231241,0,3,0,6,1,0.0234375,0.13203124999999999,0.84999999999999998
320,0.02,3,full,alpha_Mz,2.2099999999999471,4096,0.010139029987818855,0.0075792749145904377,0.0050983720332637731,0.0072237709808442305,-0.0072237709808442305,44,3,0,0,6,0.3515625,0.98515624999999996,0.84999999999999998
320,0.02,3,full,C,2.2099999999999471,4096,0.00047942924953974848,0.00035822065210200306,0.00024096528691663831,0.00034192349689444497,0.00034192349689444497,11,3,0,2,4,0.1953125,0.53828125000000016,0.84999999999999998
320,0.02,3,full,Zx,2.2099999999999471,4096,0.00085557734250086951,0.00063900339769131583,0.00042984020089815935,0.00060758550491131838,0.00060758550491131838,63,3,0,5,4,0.9453125,1.24921875,0.84999999999999998
320,0.02,3,full,Zy,2.2099999999999471,4096,0.00083986247611777273,0.00062732532626854221,0.00042198467996571365,0.00059648462720437979,0.00059648462720437979,15,3,0,1,5,0.4609375,0.51796875000000009,0.84999999999999998
320,0.02,3,full,Zz,2.2099999999999471,4096,0.00081812600457588846,0.00061103975151759432,0.00041102981689615758,0.00058099713822610491,-0.00058099713822610491,8,3,0,4,0,0.0078125,0.41640624999999998,0.84999999999999998
320,0.02,3,full,E_x_w,2.2099999999999471,4096,0.0089189520464591689,0.0066677121594275416,0.0044851885678453638,0.0063431473788316496,-0.0063431473788316496,0,3,0,0,0,0.0078125,0.010156250000000006,0.84999999999999998
320,0.02,3,full,E_x_alpha,2.2099999999999471,4096,0.017550324008808273,0.013107501337434655,0.0088170595469626786,0.012456602352976293,-0.012456602352976293,26,3,0,4,3,0.5546875,0.57890625000000007,0.84999999999999998
320,0.02,3,full,E_x_a,2.2099999999999471,4096,0.0088068582369813485,0.0065833800211727482,0.0044284606327818282,0.0062633682977491457,-0.0062633682977491457,63,3,0,7,5,0.9609375,1.28984375,0.84999999999999998
320,0.02,3,full,E_x_c,2.2099999999999471,4096,0.0085782763070516733,0.0064074868107578771,0.0043101420554870745,0.006092981187841193,-0.006092981187841193,36,3,0,4,6,0.3515625,0.74140624999999993,0.84999999999999998
320,0.02,3,full,E_x_b,2.2099999999999471,4096,0.008355687438463863,0.0062408499689839934,0.0041980499855483137,0.0059336140381662994,-0.0059336140381662994,35,3,0,7,2,0.1640625,0.96484375000000011,0.84999999999999998
320,0.02,3,full,E_x_d,2.2099999999999471,4096,0.0081386303131700984,0.0060827528033314902,0.0040917023234059444,0.0057872681559086045,-0.0057872681559086045,63,3,0,2,5,0.9609375,1.18828125,0.84999999999999998
320,0.02,3,full,E_x_e,2.2099999999999471,4096,0.0079390140007156162,0.0059325510359784792,0.0039906656808974096,0.0056441147033968143,-0.0056441147033968143,40,3,0,5,0,0.0078125,1.08671875,0.84999999999999998
