axisTau,field,n128,n256,n512,E_128_256,E_256_512,Q,p
0.0,C-norm2,0.1305083885462906,0.0006854074319407438,2.9331766164378906e-06,0.12982298111434987,0.0006824742553243058,190.22399761095622,7.5715554499080895
0.0038418496973092763,C-norm2,0.12143084420480739,0.000748684224341603,3.249133392581999e-06,0.12068215998046579,0.000745435090949021,161.8949274668893,7.33891397323479
0.007683699394618553,C-norm2,0.1123532998633242,0.0008119610167424624,3.533526239418527e-06,0.11154133884658173,0.0008084274905030439,137.97321362386518,7.108244396466322
0.01152554909192783,C-norm2,0.10327575552184098,0.0008752378091433216,4.751907550233462e-06,0.10240051771269766,0.0008704859015930882,117.63604387537244,6.878186361793807
0.015367398789237105,C-norm2,0.09419821118035779,0.0008871257732306138,4.385810577506509e-06,0.09331108540712718,0.0008827399626531073,105.70619814999345,6.723916162314545
0.01920924848654638,C-norm2,0.09044941163086201,0.0008549446099452817,3.7777638257352043e-06,0.08959446702091672,0.0008511668461195465,105.26075754639199,6.717823872622193
0.02305109818385566,C-norm2,0.08925560739146267,0.0008075689793078989,3.082636746143933e-06,0.08844803841215478,0.000804486342561755,109.94349280126556,6.780618408054385
0.026892947881164933,C-norm2,0.08806180315206334,0.0007555743308695337,2.4176470442920497e-06,0.08730622882119381,0.0007531566838252416,115.92040633267735,6.856990746831127
0.03073479757847421,C-norm2,0.08668315997201693,0.000692850468402144,1.8911827035104947e-06,0.08599030950361479,0.0006909592856986335,124.45061711077437,6.959429573974321
0.03457664727578349,C-norm2,0.08473028030971723,0.0006285653556368911,1.5852960733235024e-06,0.08410171495408034,0.0006269800595635676,134.13778264754131,7.067571848797534
0.03841849697309276,C-norm2,0.08277740064741752,0.0005618838721044188,1.5714118768684735e-06,0.08221551677531311,0.0005603124602275504,146.7315517879511,7.197035317865788
0.04226034667040204,C-norm2,0.08082452098511782,0.0004980490104946441,1.8212873466928487e-06,0.08032647197462317,0.0004962277231479513,161.87421263981594,7.338729365286531
0.04610219636771132,C-norm2,0.07845494710100641,0.0004354783554340791,2.2764306885204453e-06,0.07801946874557233,0.00043320192474555864,180.09954316661245,7.492650711540298
0.04994404606502059,C-norm2,0.07600377856704488,0.0003838907499456622,2.8563876842930388e-06,0.07561988781709922,0.00038103436226136916,198.4594968503865,7.63270079081811
0.053785895762329866,C-norm2,0.07355261003308336,0.0003372411783847904,3.4655810982501493e-06,0.07321536885469856,0.00033377559728654024,219.35506804544644,7.777124228976941
0.05762774545963915,C-norm2,0.07101327475019387,0.000301620270717582,4.002374378880556e-06,0.07071165447947629,0.0002976178963387014,237.5920781289426,7.892342923915849
0.06146959515694842,C-norm2,0.0683678531311624,0.0002775453311720218,4.370156039454887e-06,0.06809030779999038,0.00027317517513256694,249.2551080710295,7.961479260348971
0.0653114448542577,C-norm2,0.06572243151213096,0.0002603963946654942,4.534195732461983e-06,0.06546203511746547,0.00025586219893303225,255.84879435277225,7.999147624665087
0.06915329455156698,C-norm2,0.06308590208014016,0.0002608749380734518,4.486193388434198e-06,0.06282502714206671,0.00025638874468501756,245.0381635092813,7.936862649279419
0.07299514424887625,C-norm2,0.060532227283720694,0.00026688620197392053,4.2511958826285e-06,0.060265341081746776,0.000262635006091292,229.46423623665203,7.842125505833637
0.07683699394618553,C-norm2,0.05797855248730122,0.00028478912242494006,3.879707750995623e-06,0.057693763364876284,0.0002809094146739444,205.38209241524447,7.682166586085198
0.0806788436434948,C-norm2,0.05542487769088175,0.00031038946343045547,3.4474662364383386e-06,0.0551144882274513,0.0003069419971940171,179.5599453033258,7.488321751674165
0.08452069334080407,C-norm2,0.05311247942471119,0.00034085072841461434,3.0420101905558215e-06,0.05277162869629657,0.0003378087182240585,156.21748595989376,7.287412138105475
0.08836254303811336,C-norm2,0.05087545825029133,0.0003784868265183125,2.7266376013380815e-06,0.05049697142377302,0.0003757601889169744,134.38616679780972,7.070240829979806
0.09220439273542264,C-norm2,0.04863843707587148,0.00041711892050584013,2.5459101235950475e-06,0.04822131815536564,0.0004145730103822451,116.31562341915256,6.86190108121612
0.09604624243273191,C-norm2,0.04661229050915488,0.00045726330420915896,2.529292474461625e-06,0.04615502720494572,0.00045473401173469735,101.49895546382324,6.6653210703387105
0.09988809213004118,C-norm2,0.044845492411505566,0.0004955719006001287,2.6732672298580934e-06,0.04434992051090544,0.0004928986333702707,89.97777130696426,6.491496727594377
0.10372994182735046,C-norm2,0.043078694313856254,0.0005328658784182811,2.9311255166020333e-06,0.04254582843543797,0.0005299347529016791,80.28503169961316,6.327059132372601
0.10757179152465973,C-norm2,0.04139699926737204,0.0005632806356769731,3.2572741762868147e-06,0.04083371863169506,0.0005600233615006863,72.91431293557747,6.188130135425128
0.11141364122196902,C-norm2,0.040188530391022596,0.0005901732906827048,3.6006463012504215e-06,0.03959835710033989,0.0005865726443814544,67.50801879296073,6.076986974617221
0.1152554909192783,C-norm2,0.03898006151467316,0.0006108387357634061,3.904296171571022e-06,0.03836922277890976,0.0006069344395918351,63.2180681734145,5.982265044726141
0.11909734061658757,C-norm2,0.03777159263832373,0.000623355658087474,4.129397648974995e-06,0.037148236980236254,0.000619226260438499,59.99137852120499,5.906683277968245
0.12293919031389684,C-norm2,0.03707265183617644,0.0006317425737598141,4.25840410966307e-06,0.036440909262416624,0.000627484169650151,58.07462725750352,5.859836084249006
0.12678104001120613,C-norm2,0.03644969497700733,0.0006296476032606874,4.288741699383264e-06,0.03582004737374664,0.0006253588615613041,57.279187320247466,5.839939118610933
0.1306228897085154,C-norm2,0.03582673811783822,0.0006227554955727354,4.2296635155204825e-06,0.035203982622265484,0.000618525832057215,56.91594562053641,5.830760990738499
0.13446473940582468,C-norm2,0.035535907643385725,0.0006101250470765034,4.106069726401656e-06,0.03492578259630922,0.0006060189773501017,57.6314998401978,5.848785660748676
0.13830658910313395,C-norm2,0.035465905760048086,0.0005903794641078136,3.9576950243543986e-06,0.03487552629594027,0.0005864217690834592,59.47174565236306,5.894132518122001
0.14214843880044323,C-norm2,0.035395903876710454,0.000567933860087549,3.8149488171998964e-06,0.034827970016622904,0.0005641189112703491,61.73870317198408,5.948103274196137
0.1459902884977525,C-norm2,0.03548410867757573,0.0005406261893277687,3.703654271207335e-06,0.03494348248824796,0.0005369225350565615,65.08105025721612,6.0241656278377445
0.14983213819506178,C-norm2,0.03587962992931579,0.0005114855747837329,3.6504082594615083e-06,0.035368144354532054,0.0005078351665242714,69.64492946914041,6.121946415466746
0.15367398789237105,C-norm2,0.036275151181055836,0.0004809646633407285,3.655879500403733e-06,0.035794186517715106,0.00047730878384032475,74.99167777664327,6.228658595875216
0.15751583758968032,C-norm2,0.03669920475244255,0.000449995630885256,3.7158236216949762e-06,0.036249209121557296,0.000446279807263561,81.22529527792297,6.343857178073956
0.1613576872869896,C-norm2,0.03743453524100158,0.0004195957697275141,3.819555008052608e-06,0.037014939471274065,0.0004157762147194615,89.02611106854518,6.476156630789688
0.16519953698429887,C-norm2,0.038169865729560604,0.00039045755551859156,3.952927833468773e-06,0.03777940817404201,0.00038650462768512276,97.74632816251842,6.6109706035352644
0.16904138668160815,C-norm2,0.03890519621811962,0.00036383586147841504,4.095215060243246e-06,0.038541360356641206,0.0003597406464181718,107.13651832336937,6.743306507621919
0.17288323637891745,C-norm2,0.03980858056146196,0.00033865623602878035,4.229632791187243e-06,0.039469924325433184,0.0003344266032375931,118.02268104069402,6.882920326315801
0.17672508607622672,C-norm2,0.040746260361951114,0.00031790154967208795,4.344416040497461e-06,0.040428358812279026,0.0003135571336315905,128.9345847247722,7.0104954862012745
0.180566935773536,C-norm2,0.041683940162440265,33418.77778898609,4.430850895600424e-06,33418.73610504592,33418.777784555234,0.9999987528116803,-1.7993135259717546e-06
0.18440878547084527,C-norm2,8233.625749098348,107984.97504972915,1093167.67123023,99751.3493006308,985182.6961805009,0.10125162539634658,-3.3039830270636625
0.18825063516815455,C-norm2,20000.864731928647,153070.979332867,1193316.3524101416,133070.11460093834,1040245.3730772746,0.12792185194468847,-2.9666653646831995
0.19209248486546382,C-norm2,20271.798407849892,152998.21441456582,1134002.3432236933,132726.41600671594,981004.1288091275,0.13529649071695224,-2.8858036753135523
0.1959343345627731,C-norm2,20128.412601138574,149396.651144031,1045734.8732372854,129268.23854289242,896338.2220932544,0.1442181481907657,-2.7936753723517675
0.19977618426008237,C-norm2,19933.261596549255,144727.44489557398,948190.8082144232,124794.18329902472,803463.3633188492,0.15532031576840044,-2.6866815495059138
0.20361803395739164,C-norm2,19699.40952062954,139380.27653852207,852285.2056396991,119680.86701789254,712904.929101177,0.1678777381561731,-2.574517164082798
0.20745988365470092,C-norm2,19431.019901723896,133609.0523319025,764914.52527273,114178.0324301786,631305.4729408275,0.1808601973594494,-2.467053151772531
0.2113017333520102,C-norm2,19130.50115558166,127559.79424478843,689492.4537210838,108429.29308920677,561932.6594762953,0.1929578059945113,-2.3736426864485916
0.21514358304931946,C-norm2,18802.769401609447,121414.67493781958,631967.2743225493,102611.90553621014,510552.59938472975,0.2009820450622882,-2.3148614723718137
0.21898543274662874,C-norm2,18453.147072480686,115301.94202272952,594607.0452289253,96848.79495024883,479305.10320619575,0.2020608466348516,-2.3071382973560906
0.22282728244393804,C-norm2,18086.85159947552,109315.16095093597,574382.4025330071,91228.30935146046,465067.2415820711,0.1961615465349031,-2.3498858365135673
0.22666913214124731,C-norm2,17707.001966880107,103539.49296261839,565862.7196118113,85832.49099573828,462323.226649193,0.18565472389918938,-2.429306070514912
0.2305109818385566,C-norm2,17316.44610094367,98051.077690126,564914.9533379499,80734.63158918233,466863.8756478239,0.17292970349687975,-2.5317423982202016
0.23435283153586586,C-norm2,16917.18255749376,92985.48159798779,571056.1646791396,76068.29904049402,478070.6830811518,0.15911517215453586,-2.651856686946301
0.23819468123317514,C-norm2,16512.294863587987,88444.57650667251,585989.4899274558,71932.28164308453,497544.91342078324,0.14457444886437823,-2.7901154924868248
0.2420365309304844,C-norm2,16104.205524543147,84521.64237733524,610893.6769024158,68417.4368527921,526372.0345250806,0.12997923971117076,-2.943646880537346
0.24587838062779369,C-norm2,15694.933090804456,81268.67297332136,644859.7721263701,65573.73988251691,563591.0991530487,0.11634985006161304,-3.103458743323359
0.24972023032510296,C-norm2,15286.354559330439,78635.97274088756,684415.0076430695,63349.618181557125,605779.034902182,0.10457545496236345,-3.257383820352531
0.25356208002241226,C-norm2,14880.325520876715,76589.96035746994,724689.6075972357,61709.63483659323,648099.6472397657,0.09521627592209386,-3.392647986146109
0.25740392971972154,C-norm2,14478.483370320808,75024.33262621093,760692.0241963877,60545.84925589013,685667.6915701767,0.08830203026956153,-3.5014095805968513
0.2612457794170308,C-norm2,14082.065564489376,73850.89601970174,788210.6418548584,59768.830455212366,714359.7458351566,0.08366769096897633,-3.5791855691199204
0.2650876291143401,C-norm2,13692.642399008348,73003.2100912001,804620.0133041743,59310.567692191755,731616.8032129742,0.08106780411784283,-3.6247271244299135
0.26892947881164936,C-norm2,13311.890096857605,72419.35985541076,809036.1715169274,59107.469758553154,736616.8116615167,0.08024181477100698,-3.6395019550668373
0.27277132850895863,C-norm2,12941.82901533155,72083.42829129906,802766.2727853607,59141.599275967514,730682.8444940617,0.08094017770037869,-3.62700017339435
0.2766131782062679,C-norm2,12584.72155552008,72005.3934547812,789151.3283892891,59420.67189926111,717145.9349345079,0.0828571550150216,-3.593229905013773
0.2804550279035772,C-norm2,12245.09819286703,72224.46455902029,772746.6822777863,59979.366366153256,700522.2177187661,0.08562093371067464,-3.545892621322175
0.28429687760088646,C-norm2,11923.377433143896,72751.36677664639,757475.7031240399,60827.98934350249,684724.3363473936,0.0888357344913202,-3.4927160672180277
0.28813872729819573,C-norm2,11621.383180328889,73628.48925394625,745967.780082455,62007.10607361735,672339.2908285088,0.09222591468246244,-3.4386839973557564
0.291980576995505,C-norm2,11340.476471730442,74849.3488333724,739193.4113423686,63508.87236164195,664344.0625089962,0.09559635728780513,-3.386900544612059
0.2958224266928143,C-norm2,11082.365229492641,76413.17299286183,736873.5413798216,65330.80776336919,660460.3683869598,0.09891707495322756,-3.3376366109128845
0.29966427639012355,C-norm2,10847.858892825341,78313.52446481993,737976.121104113,67465.66557199458,659662.596639293,0.10227298912459815,-3.289502923425179
0.3035061260874328,C-norm2,10635.409488197989,80489.1131553901,741077.7076026095,69853.70366719212,660588.5944472194,0.10574464084661606,-3.2413435456785624
0.3073479757847421,C-norm2,10444.362650528232,82878.71995101158,744756.404226804,72434.35730048335,661877.6842757924,0.10943767862447114,-3.191818561455911
0.3111898254820514,C-norm2,10273.708823522975,85415.0096685103,747940.4695771509,75141.30084498733,662525.4599086406,0.11341647286332059,-3.140297899119794
0.31503167517936065,C-norm2,10122.143784388243,88009.83172883223,750044.6024086962,77887.68794444398,662034.770679864,0.11764893838500161,-3.087439792545328
0.3188735248766699,C-norm2,9988.401742735281,90578.50954993459,751037.115775715,80590.10780719931,660458.6062257804,0.12202143638907971,-3.034793476152082
0.3227153745739792,C-norm2,9872.030397614264,93031.01437310074,751236.9746078908,83158.98397548648,658205.9602347901,0.12634188840499508,-2.9845950537431944
0.32655722427128847,C-norm2,9769.833555990634,95291.7404448218,751101.5330120226,85521.90688883117,655809.7925672008,0.13040657193307728,-2.938911517831046
0.33039907396859775,C-norm2,9680.472110399847,97301.57656753577,751012.2941456493,87621.10445713592,653710.7175781135,0.13403651202439687,-2.899302045388255
0.334240923665907,C-norm2,9602.774230865572,98994.52041806535,751165.9506766855,89391.74618719978,652171.4302586202,0.13706786596240694,-2.8670377079460296
