cycle,time,stage,field,rank,gid,level,x,y,z,max_abs,bit_mismatch,nonfinite
0,0,1,Lalpha,0,1,0,1.0625,-0.0625,-0.0625,1.1089205713410433e-08,780,0
0,0,1,Lchi,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LKhat,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LTheta,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,detg,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,chi_guarded,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,oopsi4,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Ht,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,K,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,S,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Ddalpha,0,1,0,1.0625,-0.3125,-0.0625,1.1368399068650836e-07,1008,0
0,0,1,dbeta,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dB,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Gamma_u0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Gamma_u1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Gamma_u2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,DA_u0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,DA_u1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,DA_u2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dalpha_d0,0,1,0,0.4375,-0.0625,-0.0625,3.7412919151602608e-08,592,0
0,0,1,dalpha_d1,0,1,0,0.6875,-0.3125,-0.0625,3.7412919040580306e-08,592,0
0,0,1,dalpha_d2,0,1,0,0.6875,-0.0625,-0.3125,3.7412919040580306e-08,592,0
0,0,1,dchi_d0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dchi_d1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dchi_d2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dKhat_d0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dKhat_d1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dKhat_d2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dTheta_d0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dTheta_d1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dTheta_d2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,ddbeta_d0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,ddbeta_d1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,ddbeta_d2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LGam_u0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LGam_u1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LGam_u2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lbeta_u0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lbeta_u1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lbeta_u2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LB_d0,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LB_d1,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LB_d2,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,g_uu22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,A_uu22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,AA_dd22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,R_dd22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Rphi_dd22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Ddalpha_dd00,0,7,0,0.3125,0.0625,0.0625,4.0387768307503791e-07,1008,0
0,0,1,Ddalpha_dd01,0,3,0,0.4375,0.3125,-0.0625,1.4890748023521638e-07,1192,0
0,0,1,Ddalpha_dd02,0,5,0,0.4375,-0.0625,0.3125,1.4890748023521638e-07,1192,0
0,0,1,Ddalpha_dd10,0,3,0,0.4375,0.3125,-0.0625,1.4890748023521638e-07,1192,0
0,0,1,Ddalpha_dd11,0,1,0,0.8125,-0.4375,-0.0625,3.5225855285481167e-07,1008,0
0,0,1,Ddalpha_dd12,0,1,0,0.8125,-0.3125,-0.3125,1.4050023130346423e-07,1192,0
0,0,1,Ddalpha_dd20,0,5,0,0.4375,-0.0625,0.3125,1.4890748023521638e-07,1192,0
0,0,1,Ddalpha_dd21,0,1,0,0.8125,-0.3125,-0.3125,1.4050023130346423e-07,1192,0
0,0,1,Ddalpha_dd22,0,1,0,0.8125,-0.0625,-0.4375,3.5225855285481167e-07,1008,0
0,0,1,dbeta_du00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,dbeta_du22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,Lg_dd22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd00,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd01,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd02,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd10,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd11,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd12,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd20,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd21,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,1,LA_dd22,0,0,0,-1.9375,-1.9375,-1.9375,0,0,0
0,0,2,Lalpha,0,1,0,1.0625,-0.0625,-0.0625,1.0673423658791314e-08,2296,0
0,0,2,Lchi,0,1,0,1.0625,-0.0625,-0.0625,1.9633693976173205e-11,700,0
0,0,2,LKhat,0,1,0,0.9375,-0.0625,-0.3125,1.8475815086183012e-08,1988,0
0,0,2,LTheta,0,1,0,1.9375,-0.0625,-0.0625,1.1755670321180582e-13,856,0
0,0,2,detg,0,1,0,0.6875,-0.1875,-0.4375,2.2204460492503131e-16,108,0
0,0,2,chi_guarded,0,1,0,0.8125,-0.0625,-0.0625,1.4575951556849986e-11,280,0
0,0,2,oopsi4,0,1,0,0.8125,-0.0625,-0.0625,1.4575951556849986e-11,280,0
0,0,2,AA,0,3,0,1.1875,0.0625,-0.0625,2.2560639884039446e-09,1720,0
0,0,2,R,0,1,0,1.1875,-0.0625,-0.0625,2.4514931612484858e-09,2156,0
