cycle,time_hex,rk_stage,tree_checksum,gid,relative_level,lx1,lx2,lx3,local_k,local_j,local_i,rho,z,value,classification
5546,0x1.5124ccccccd9bp+3,3,cf359244e1483352,35,5,20,63,0,0,67,39,5.138671875,-0.001953125,-1.3316138503433481,negative
5546,0x1.5124ccccccd9bp+3,3,cf359244e1483352,60,5,20,64,0,0,4,39,5.138671875,0.001953125,-1.3409347716159825,negative
