57214220|brill-chi-prov-ac75-v1|gpu_shared_interactive|CANCELLED by 102811|0:0|01:14:27|nid008257
57214220.extern|extern||COMPLETED|0:0|01:14:28|nid008257
57214220.0|bash||COMPLETED|0:0|00:00:01|nid008257
57214220.1|bash||FAILED|1:0|00:08:12|nid008257
57214220.2|athena||COMPLETED|0:0|00:00:01|nid008257
57214220.3|bash||FAILED|1:0|00:00:09|nid008257
57214220.4|bash||FAILED|1:0|00:00:27|nid008257
57214220.5|bash||CANCELLED by 0|0:9|00:24:16|nid008257
57214220.6|bash||FAILED|1:0|00:06:21|nid008257
57214220.7|bash||COMPLETED|0:0|00:01:44|nid008257
