cycle,rk_stage,gid,i,j,rho,z,adv_rho,adv_z,adv_y,lie_divergence,adv_directional_sum,adv_total_production,adv_directional_residual,curvature_source,rhs_before_ko,ko_rho,rhs_after_ko_rho,ko_z,rhs_after_ko_z,ko_y,rhs_after_ko_y,rhs_after_ko,stored_rhs_after_boundary,boundary_rhs_change,rhs_sum_residual,rhs_sum_ulp
5546,3,35,39,67,5.138671875,-0.001953125,-2870.3497175944094,-0.067736663073931475,0,-420.87339554685514,-3291.2908498043384,-3291.2908498043384,0,-126.33844699264546,-3417.6292967969839,24.298030254721198,-3393.3312665422627,0.0019345252630955656,-3393.3293320169996,0,-3393.3293320169996,-3393.3293320169996,-3393.3293320169996,0,0,0
5546,3,60,39,4,5.138671875,0.001953125,-2883.555649195554,-0.066965039126227491,0,-421.23704451487174,-3304.8596587495522,-3304.8596587495522,0,-127.34667027292653,-3432.2063290224787,24.399667648394825,-3407.8066613740839,0.0025659269899733772,-3407.8040954470939,0,-3407.8040954470939,-3407.8040954470939,-3407.8040954470939,0,0,0
