target_gid,direction,velocity,inverse_dx,order,block_local,stitched_owner,difference,ulp_difference
35,rho,1.3157107767240277,256,2,57.996358297641351,57.996358297641351,0,0
35,rho,1.3157107767240277,256,4,-1775.1611285883787,-1775.1611285883787,0,0
35,rho,1.3157107767240277,256,6,-2870.3497175944094,-2870.3497175944094,0,0
35,z,-0.064496942225249654,256,2,-0.14764312509678509,-0.14764312509678509,0,0
35,z,-0.064496942225249654,256,4,-0.07989395580830945,-0.07989395580830945,0,0
35,z,-0.064496942225249654,256,6,-0.067736663073930614,-0.067736663073930614,0,0
60,rho,1.3162028578190741,256,2,58.161688226373052,58.161688226373052,0,0
60,rho,1.3162028578190741,256,4,-1783.3636365215352,-1783.3636365215352,0,0
60,rho,1.3162028578190741,256,6,-2883.555649195554,-2883.555649195554,0,0
60,z,0.064499833843040616,256,2,-0.14142893822465263,-0.14142893822465263,0,0
60,z,0.064499833843040616,256,4,-0.077468548872014001,-0.077468548872014001,0,0
60,z,0.064499833843040616,256,6,-0.066965039126225118,-0.066965039126225118,0,0
