cycle,rk_stage,gid,i,j,rho,z,delta,u0_before_copy,u1_before_copy,expected_u1_after,u1_after_copy,copy_ulp_difference,copy_exact,u0_after_copy
5546,3,35,39,67,5.138671875,-0.001953125,1.065841341361089,0.64794788118068836,0.91653096842312587,1.6071406072328263,1.6071406072328263,0,true,0.64794788118068836
5546,3,60,39,4,5.138671875,0.001953125,1.065841341361089,0.64769786974090293,0.9164750649996054,1.6068182312809693,1.6068182312809693,0,true,0.64769786974090293
