target_gid,direction,inverse_dx,diss,production_term,block_local_shadow,stitched_owner_shadow,block_production_ulp,stitched_production_ulp
35,rho,256,-7.8125000000000002e-05,24.298030254721198,24.298030254721343,24.298030254721343,41,41
35,z,256,-7.8125000000000002e-05,0.0019345252630955656,0.0019345252629354849,0.0019345252629354849,738242,738242
60,rho,256,-7.8125000000000002e-05,24.399667648394825,24.399667648395035,24.399667648395035,59,59
60,z,256,-7.8125000000000002e-05,0.0025659269899733772,0.0025659269901449778,0.0025659269901449778,395684,395684
