gid,level,lx1,lx2,k,j,i,rho,z,z4c_chi,z4c_gxx,z4c_gxy,z4c_gxz,z4c_gyy,z4c_gyz,z4c_gzz,z4c_Khat,z4c_Axx,z4c_Axy,z4c_Axz,z4c_Ayy,z4c_Ayz,z4c_Azz,z4c_Gamx,z4c_Gamy,z4c_Gamz,z4c_Theta,z4c_alpha,z4c_betax,z4c_betay,z4c_betaz,z4c_Bx,z4c_By,z4c_Bz
35,5,20,63,0,4,4,5.001953125,-0.248046875,0.61762431686778851,0.86477609031271052,0.027757019502339279,0,1.2881227366529964,0,0.89833757016440141,0.6985327164797831,0.27568521033044463,-0.29525322933840598,0,-0.13297854623054253,0,-0.20700657301609893,-0.031052475495603412,-0.11714587598103064,0,0.05639698749573218,0.68941336198782122,-0.033345823880232037,-0.056697768956211855,0,0.00058858037120809866,-9.3750662679363764e-05,0
35,5,20,63,0,4,5,5.005859375,-0.248046875,0.61829140196867571,0.86449572254070728,0.027761026619755321,0,1.2879182289404638,0,0.8987720862320413,0.70660716042626903,0.28357216666849838,-0.29296997766715915,0,-0.13957279346747009,0,-0.21069130295162961,-0.027404045417027924,-0.11815413638554514,0,0.058367763617088682,0.68951428830289874,-0.032005935121394706,-0.057229395571223182,0,0.00059136674595082093,-9.2633298813090786e-05,0
35,5,20,63,0,4,6,5.009765625,-0.248046875,0.61895202682214956,0.86422303072396156,0.027746805162392602,0,1.2877124526746779,0,0.89919900616849657,0.7146836789255735,0.28995265727692598,-0.29042394423207551,0,-0.14565002661479001,0,-0.21315080909969919,-0.026067121159395832,-0.12007808814446887,0,0.05831532328378411,0.689615684110086,-0.030637581680576162,-0.057757435710019629,0,0.00059411748409665362,-9.1439674063402659e-05,0
35,5,20,63,0,4,7,5.013671875,-0.248046875,0.6196050543825864,0.86395515257883471,0.027698863342365404,0,1.28751074572788,0,0.89961686745196678,0.72252954348122056,0.2956612949202716,-0.28698439312744844,0,-0.15182706281534139,0,-0.21478580386687457,-0.025264977502901711,-0.12190214561569873,0,0.057036745113811071,0.68971755545697377,-0.029244774975319982,-0.058282190081298431,0,0.00059683915326142476,-9.0182649842439217e-05,0
35,5,20,63,0,4,8,5.017578125,-0.248046875,0.62024916094454996,0.86369665556549324,0.027622371023340999,0,1.2873090990351654,0,0.90002393046881912,0.72936871705514617,0.30107790782748933,-0.28249446709066439,0,-0.15866000035888525,0,-0.21559501158183234,-0.022763688184098751,-0.12292939016579228,0,0.054918842949043908,0.68981988468761057,-0.027827054033657709,-0.058802748991188064,0,0.00059951277245948328,-8.8851208649853953e-05,0
35,5,20,63,0,4,9,5.021484375,-0.248046875,0.62088321774444377,0.86345166477093271,0.027527076638948152,0,1.2871041068260518,0,0.90041869523403439,0.73524055677951328,0.30561932704947276,-0.27742646792026787,0,-0.1654497081132244,0,-0.21548177113060449,-0.018010417258020796,-0.12362391145129546,0,0.051766478583235541,0.68992267435777221,-0.026381745547329249,-0.059317893197414991,0,0.00060214731660240936,-8.7451280070901421e-05,0
35,5,20,63,0,4,10,5.025390625,-0.248046875,0.6215074733219611,0.86321842313804364,0.027417441147341272,0,1.2868979896626276,0,0.90080162021241705,0.74034359759344182,0.30984806301079759,-0.27189701229685859,0,-0.17254039031255225,0,-0.21479904410014147,-0.012935286722418842,-0.1249569515610981,0,0.048057880586725388,0.69002590833345168,-0.024908346421669864,-0.059827420744185816,0,0.00060473704727631529,-8.5974759223028779e-05,0
35,5,20,63,0,4,11,5.029296875,-0.248046875,0.6221238778209216,0.8629925260975525,0.027294332478995022,0,1.2866932458029989,0,0.90117557773454027,0.74585945557017008,0.31478392120362292,-0.26583061201024261,0,-0.18100150040098426,0,-0.21386198248286947,-0.0098874724105301216,-0.12710678610172776,0,0.043717953873061224,0.69012958822556181,-0.023410605462022106,-0.060332011765444303,0,0.00060728796736209383,-8.4428022292905584e-05,0
35,5,20,63,0,4,12,5.033203125,-0.248046875,0.62273602012764995,0.86276677673585944,0.027159099961340402,0,1.2864933265592495,0,0.9015457222661728,0.752590919968671,0.32075502057671984,-0.25922798490717697,0,-0.1910994983385792,0,-0.21283230312500045,-0.0090385753126171042,-0.12912712314501557,0,0.038605602815164494,0.69023369805054591,-0.021893546391341768,-0.060830940167413243,0,0.00060979046244562793,-8.2807133284816664e-05,0
35,5,20,63,0,4,13,5.037109375,-0.248046875,0.62334592499649266,0.86253553534290961,0.027016456288802539,0,1.2863028969566628,0,0.9019148898081516,0.76092428063853923,0.32776739831375573,-0.25202133150988415,0,-0.20239099019957071,0,-0.21203089536082401,-0.0081496838296084527,-0.13011671696681587,0,0.03306863503872829,0.69033823647486015,-0.02035694698568951,-0.061320815348698932,0,0.00061223758727407351,-8.1119077026308611e-05,0
