arm,state,gid,i,j,rho,z,region,C_squared,H_squared,M_squared
high_order,T0,28,17,0,5.2734375,-0.9921875,COARSE_FINE_INTERFACE,2.0454142419790467e-05,6.006060121881754e-06,7.119242098545475e-06
high_order,T0,28,18,0,5.2890625,-0.9921875,COARSE_FINE_INTERFACE,1.7644881461887777e-05,4.4866376264270065e-06,5.726221390734146e-06
high_order,T0,28,19,0,5.3046875,-0.9921875,COARSE_FINE_INTERFACE,1.4955303661472274e-05,3.131081422288555e-06,4.49332476479262e-06
high_order,T0,28,20,0,5.3203125,-0.9921875,COARSE_FINE_INTERFACE,1.2624222266660013e-05,2.023963311189241e-06,3.527194343832914e-06
high_order,T0,28,21,0,5.3359375,-0.9921875,COARSE_FINE_INTERFACE,1.0982174764969087e-05,1.2116055728042706e-06,2.701268856482775e-06
high_order,T0,28,22,0,5.3515625,-0.9921875,COARSE_FINE_INTERFACE,1.007829749996317e-05,6.467965489006494e-07,2.039066251204064e-06
high_order,T0,28,23,0,5.3671875,-0.9921875,COARSE_FINE_INTERFACE,9.137729682360527e-06,2.409521401213917e-07,1.502589504833056e-06
high_order,T0,28,24,0,5.3828125,-0.9921875,COARSE_FINE_INTERFACE,8.182911707386592e-06,2.3373471859093007e-08,1.0959663646226488e-06
high_order,T0,28,25,0,5.3984375,-0.9921875,COARSE_FINE_INTERFACE,8.017847805833122e-06,4.944412904028317e-08,8.981407804285834e-07
high_order,T0,28,26,0,5.4140625,-0.9921875,COARSE_FINE_INTERFACE,8.668069193368407e-06,4.0135234180065736e-07,9.052900627249851e-07
high_order,T0,28,27,0,5.4296875,-0.9921875,COARSE_FINE_INTERFACE,9.762077976763371e-06,1.1852294150872425e-06,1.1163376100228325e-06
high_order,T0,28,28,0,5.4453125,-0.9921875,COARSE_FINE_INTERFACE,1.1193600562680666e-05,2.4552925213563594e-06,1.5004269477373315e-06
high_order,T0,28,29,0,5.4609375,-0.9921875,COARSE_FINE_INTERFACE,1.3353133347117276e-05,4.024123884198021e-06,1.9424759654691567e-06
high_order,T0,28,30,0,5.4765625,-0.9921875,COARSE_FINE_INTERFACE,1.596947390440641e-05,5.6338721225248376e-06,2.392324555174394e-06
high_order,T0,28,31,0,5.4921875,-0.9921875,COARSE_FINE_INTERFACE,1.755278094223636e-05,6.829754559938507e-06,2.820856766195548e-06
high_order,T0,28,0,1,5.0078125,-0.9765625,COARSE_FINE_INTERFACE,4.015099073384255e-06,5.559809471718962e-07,-2.226438142205592e-09
high_order,T0,28,1,1,5.0234375,-0.9765625,COARSE_FINE_INTERFACE,5.67204092948473e-06,5.106612068623967e-07,2.400270238428956e-07
high_order,T0,28,2,1,5.0390625,-0.9765625,COARSE_FINE_INTERFACE,5.761092472639655e-06,4.3604955311660345e-09,7.249568320718886e-07
high_order,T0,28,3,1,5.0546875,-0.9765625,COARSE_FINE_INTERFACE,6.4118625518611765e-06,1.5990153673505975e-07,1.2968006288041817e-06
high_order,T0,28,4,1,5.0703125,-0.9765625,COARSE_FINE_INTERFACE,7.667404343670203e-06,4.166390542542482e-07,1.9268844988062792e-06
high_order,T0,28,5,1,5.0859375,-0.9765625,COARSE_FINE_INTERFACE,8.879844599027065e-06,7.599457128379913e-07,2.4751380209293663e-06
high_order,T0,28,6,1,5.1015625,-0.9765625,COARSE_FINE_INTERFACE,1.0163497376805646e-05,1.1472242821810046e-06,2.9456401956972212e-06
high_order,T0,28,7,1,5.1171875,-0.9765625,COARSE_FINE_INTERFACE,1.1397677979189079e-05,1.7310173117364505e-06,3.414000744186292e-06
high_order,T0,28,8,1,5.1328125,-0.9765625,COARSE_FINE_INTERFACE,1.2690089440423675e-05,2.635016571613387e-06,3.9365193289426165e-06
high_order,T0,28,9,1,5.1484375,-0.9765625,COARSE_FINE_INTERFACE,1.512315360225304e-05,4.131611636957313e-06,4.7866413734515915e-06
high_order,T0,28,10,1,5.1640625,-0.9765625,COARSE_FINE_INTERFACE,1.862692850945451e-05,6.3726873706643395e-06,5.957713186813893e-06
high_order,T0,28,11,1,5.1796875,-0.9765625,COARSE_FINE_INTERFACE,2.2814587899869864e-05,9.000583182424244e-06,7.567710546969132e-06
high_order,T0,28,12,1,5.1953125,-0.9765625,COARSE_FINE_INTERFACE,2.7267299508641875e-05,1.1671395522890807e-05,9.45393190071052e-06
high_order,T0,28,13,1,5.2109375,-0.9765625,COARSE_FINE_INTERFACE,3.0479784278912583e-05,1.3410014636729886e-05,1.0851014947720523e-05
high_order,T0,28,14,1,5.2265625,-0.9765625,COARSE_FINE_INTERFACE,3.2083966591711955e-05,1.3778138289985228e-05,1.1584747025598662e-05
high_order,T0,28,15,1,5.2421875,-0.9765625,COARSE_FINE_INTERFACE,3.124878722063312e-05,1.2864094019902614e-05,1.12923923106637e-05
high_order,T0,28,16,1,5.2578125,-0.9765625,COARSE_FINE_INTERFACE,2.8095713866158346e-05,1.0881796789120297e-05,1.0003385930709713e-05
high_order,T0,28,17,1,5.2734375,-0.9765625,COARSE_FINE_INTERFACE,2.464683281480347e-05,8.533539640075377e-06,8.400919223486434e-06
high_order,T0,28,18,1,5.2890625,-0.9765625,COARSE_FINE_INTERFACE,2.13307648998468e-05,6.1732523004717855e-06,6.669638028078657e-06
high_order,T0,28,19,1,5.3046875,-0.9765625,COARSE_FINE_INTERFACE,1.8158181827625765e-05,4.106943215311335e-06,5.146292980303295e-06
high_order,T0,28,20,1,5.3203125,-0.9765625,COARSE_FINE_INTERFACE,1.5413944824128382e-05,2.4597028096451298e-06,3.966125586398219e-06
high_order,T0,28,21,1,5.3359375,-0.9765625,COARSE_FINE_INTERFACE,1.3595323144242963e-05,1.290492682241585e-06,3.0092141810345746e-06
high_order,T0,28,22,1,5.3515625,-0.9765625,COARSE_FINE_INTERFACE,1.276794476882402e-05,5.348491968496065e-07,2.3080020677969006e-06
high_order,T0,28,23,1,5.3671875,-0.9765625,COARSE_FINE_INTERFACE,1.1967066558082277e-05,9.670426274507075e-08,1.8211782464344401e-06
high_order,T0,28,24,1,5.3828125,-0.9765625,COARSE_FINE_INTERFACE,1.1203048784245733e-05,1.7502272513700122e-08,1.542947606489268e-06
high_order,T0,28,25,1,5.3984375,-0.9765625,COARSE_FINE_INTERFACE,1.1484676995791131e-05,3.8623807897815165e-07,1.525592521427795e-06
high_order,T0,28,26,1,5.4140625,-0.9765625,COARSE_FINE_INTERFACE,1.2795182261781175e-05,1.3265200615583387e-06,1.745092573728032e-06
high_order,T0,28,27,1,5.4296875,-0.9765625,COARSE_FINE_INTERFACE,1.4475452751991948e-05,2.9439543492910024e-06,2.1640593706318e-06
high_order,T0,28,28,1,5.4453125,-0.9765625,COARSE_FINE_INTERFACE,1.6358980660868362e-05,5.22828982661383e-06,2.732833266743684e-06
high_order,T0,28,29,1,5.4609375,-0.9765625,COARSE_FINE_INTERFACE,1.8884193373925858e-05,7.768772915651589e-06,3.3092315774547153e-06
high_order,T0,28,30,1,5.4765625,-0.9765625,COARSE_FINE_INTERFACE,2.1748371368873796e-05,1.0132229240201634e-05,3.834161468908897e-06
high_order,T0,28,31,1,5.4921875,-0.9765625,COARSE_FINE_INTERFACE,2.325325999590561e-05,1.1655926519289241e-05,4.299807283696688e-06
high_order,T0,28,0,2,5.0078125,-0.9609375,COARSE_FINE_INTERFACE,3.988009644556478e-06,8.133199312638166e-07,-4.358612086861872e-08
high_order,T0,28,1,2,5.0234375,-0.9609375,COARSE_FINE_INTERFACE,5.452650046935638e-06,7.693576684642544e-07,1.9652960622587714e-07
high_order,T0,28,2,2,5.0390625,-0.9609375,COARSE_FINE_INTERFACE,5.236489883974745e-06,1.2884554894251606e-08,7.250410190054602e-07
high_order,T0,28,3,2,5.0546875,-0.9609375,COARSE_FINE_INTERFACE,6.32361962877495e-06,3.099989666870783e-07,1.605876966039653e-06
high_order,T0,28,4,2,5.0703125,-0.9609375,COARSE_FINE_INTERFACE,8.714706243782895e-06,1.1481699482130833e-06,2.776038090811643e-06
high_order,T0,28,5,2,5.0859375,-0.9609375,COARSE_FINE_INTERFACE,1.1109475551165703e-05,2.2696512064726112e-06,3.819885363769098e-06
high_order,T0,28,6,2,5.1015625,-0.9609375,COARSE_FINE_INTERFACE,1.3420708078501093e-05,3.306861859846813e-06,4.658790571475653e-06
high_order,T0,28,7,2,5.1171875,-0.9609375,COARSE_FINE_INTERFACE,1.5083746093353732e-05,4.209374788324135e-06,5.209351533700259e-06
high_order,T0,28,8,2,5.1328125,-0.9609375,COARSE_FINE_INTERFACE,1.6040357182553336e-05,4.913715676949045e-06,5.476838839296346e-06
high_order,T0,28,9,2,5.1484375,-0.9609375,COARSE_FINE_INTERFACE,1.7123006832904568e-05,5.567990102760934e-06,5.721691096515603e-06
high_order,T0,28,10,2,5.1640625,-0.9609375,COARSE_FINE_INTERFACE,1.835467085481918e-05,6.191699252046083e-06,5.9832488859684635e-06
high_order,T0,28,11,2,5.1796875,-0.9609375,COARSE_FINE_INTERFACE,1.967428646677453e-05,6.795311399434951e-06,6.458842794935225e-06
high_order,T0,28,12,2,5.1953125,-0.9609375,COARSE_FINE_INTERFACE,2.0979876279440347e-05,7.328218263744727e-06,7.106857420346125e-06
high_order,T0,28,13,2,5.2109375,-0.9609375,COARSE_FINE_INTERFACE,2.183797143590334e-05,7.415297889404604e-06,7.5750535072143744e-06
high_order,T0,28,14,2,5.2265625,-0.9609375,COARSE_FINE_INTERFACE,2.2119701660892748e-05,6.994144662577766e-06,7.77747641253034e-06
high_order,T0,28,15,2,5.2421875,-0.9609375,COARSE_FINE_INTERFACE,2.114049242862563e-05,6.119898647593164e-06,7.403986138036579e-06
high_order,T0,28,16,2,5.2578125,-0.9609375,COARSE_FINE_INTERFACE,1.8970656216520314e-05,4.901926444573416e-06,6.463194987782336e-06
high_order,T0,28,17,2,5.2734375,-0.9609375,COARSE_FINE_INTERFACE,1.6730567186870618e-05,3.5650786546492637e-06,5.293799628528486e-06
high_order,T0,28,18,2,5.2890625,-0.9609375,COARSE_FINE_INTERFACE,1.465659282605697e-05,2.2832589610710024e-06,4.011214675086494e-06
high_order,T0,28,19,2,5.3046875,-0.9609375,COARSE_FINE_INTERFACE,1.2680481693353039e-05,1.2437441405151772e-06,2.9023558141655826e-06
high_order,T0,28,20,2,5.3203125,-0.9609375,COARSE_FINE_INTERFACE,1.0986585797438943e-05,5.102402390655842e-07,2.073179984539491e-06
high_order,T0,28,21,2,5.3359375,-0.9609375,COARSE_FINE_INTERFACE,1.0127286418582892e-05,1.0395220262136588e-07,1.5139183427230113e-06
high_order,T0,28,22,2,5.3515625,-0.9609375,COARSE_FINE_INTERFACE,1.0158866529407975e-05,3.1849347750346266e-09,1.255350748707824e-06
high_order,T0,28,23,2,5.3671875,-0.9609375,COARSE_FINE_INTERFACE,1.0348896907569605e-05,1.8820641848059407e-07,1.2790156876728775e-06
high_order,T0,28,24,2,5.3828125,-0.9609375,COARSE_FINE_INTERFACE,1.0667646017786291e-05,6.5598543050532e-07,1.5572283797596115e-06
high_order,T0,28,25,2,5.3984375,-0.9609375,COARSE_FINE_INTERFACE,1.1893214454548572e-05,1.4830494777673717e-06,2.0315931851324932e-06
high_order,T0,28,26,2,5.4140625,-0.9609375,COARSE_FINE_INTERFACE,1.3912383500576637e-05,2.7141702840868086e-06,2.6431681784078404e-06
high_order,T0,28,27,2,5.4296875,-0.9609375,COARSE_FINE_INTERFACE,1.5823120174814308e-05,4.231640254932987e-06,3.2868447056566994e-06
high_order,T0,28,28,2,5.4453125,-0.9609375,COARSE_FINE_INTERFACE,1.7430538408863816e-05,5.879710189859104e-06,3.901779229915643e-06
high_order,T0,28,29,2,5.4609375,-0.9609375,COARSE_FINE_INTERFACE,1.8960460159210186e-05,7.272440500267045e-06,4.383960018293382e-06
high_order,T0,28,30,2,5.4765625,-0.9609375,COARSE_FINE_INTERFACE,2.026165576350526e-05,8.174089494738929e-06,4.696902058603836e-06
