line	fdng	analytic	lambda	kernel	simd	regs	spill_reals
1689	4	1	1	scalar_source_and_pi_rhs	16	256	1279
1691	4	1	0	generic_gauge_driver	16	256	386
1693	3	1	1	scalar_source_and_pi_rhs	16	256	1279
1695	3	1	0	generic_gauge_driver	16	256	386
1697	2	1	1	scalar_source_and_pi_rhs	16	256	1282
1699	2	1	0	generic_gauge_driver	16	256	386
