order,mode,dimensions,kH_over_pi,midpoint_magnitude,midpoint_phase,physical_branch_amplitude,image_branch_power_fraction
4,2d_low,2,0.25;0.25,0.983129847137234,0.7853981633974483,0.991546984299089,3.6183424451339184e-05
4,2d_mixed,2,0.75;0.25,0.5413786293459505,1.5707963267948966,0.7697278693375371,0.07940551125164028
4,2d_high,2,0.9;0.9,0.0541667837684672,2.8274333882308134,0.3799104887609684,0.4804780471186021
4,3d_low,3,0.25;0.25;0.25,0.9748017984720402,1.1780972450961724,0.9873473093715531,5.4274645708780115e-05
4,3d_mixed,3,0.75;0.5;0.25,0.47851562499999994,2.356194490192345,0.7250388072167969,0.08288969898236175
4,3d_high,3,0.9;0.9;0.9,0.012606646476032584,-2.0420352248333664,0.23416496933681796,0.6255396355107039
6,2d_low,2,0.25;0.25,0.9979197356652852,0.7853981633974483,0.9989595970822218,5.420645873908278e-07
6,2d_mixed,2,0.75;0.25,0.6498787787540914,1.5707963267948966,0.824848475031394,0.04289981411203859
6,2d_high,2,0.9;0.9,0.08326945529907397,2.8274333882308134,0.41509960051649886,0.4126572302131395
6,3d_low,3,0.25;0.25;0.25,0.9968812268734021,1.1780972450961724,0.9984398016080827,8.130967709011735e-07
6,3d_mixed,3,0.75;0.5;0.25,0.6174983978271484,2.356194490192345,0.8042993290200954,0.043524161281523734
6,3d_high,3,0.9;0.9;0.9,0.024028606517304894,-2.0420352248333664,0.26744129907061365,0.5498705369893979
