order,case,coarse_cycle_linf_change,fine_cycle_linf_change,fine_high_fraction_50,fine_high_fraction_80,fine_overshoot_above_parent_range
4,smooth_fourier,0.0,0.0,7.665287794344088e-09,7.665287794344088e-09,0.0
4,near_nyquist,0.0,0.0,0.2914423164501952,4.4010623795813454e-33,0.0
4,localized_pulse,0.0,0.0,3.342664351228582e-09,3.3426643512257934e-09,0.0049738780631207735
4,fine_restrict_prolong_kh_0.125,nan,0.007826141918014007,1.809187588366563e-05,1.809187588366563e-05,0.0
4,fine_restrict_prolong_kh_0.500,nan,2.008854037047271e-14,1.0,0.0,0.0
4,fine_restrict_prolong_kh_0.800,nan,1.9919576808202417,0.001574968102242627,2.410344612903253e-05,0.18294068644527894
4,fine_restrict_prolong_kh_1.000,nan,2.0,0.0,0.0,0.0
6,smooth_fourier,0.0,0.0,2.4715025460797027e-12,2.4715025460797027e-12,0.0
6,near_nyquist,0.0,0.0,0.24738303620675414,5.13140665570061e-33,0.0
6,localized_pulse,0.0,0.0,5.67930061991197e-12,5.679300619624554e-12,0.005084283338395279
6,fine_restrict_prolong_kh_0.125,nan,0.0009614571020738483,2.710323303660653e-07,2.710323303660653e-07,0.0
6,fine_restrict_prolong_kh_0.500,nan,2.008854037047271e-14,1.0,0.0,0.0
6,fine_restrict_prolong_kh_0.800,nan,2.0605604382372302,0.0006629474003749221,1.5312133157716222e-06,0.25154344386226757
6,fine_restrict_prolong_kh_1.000,nan,2.0,0.0,0.0,0.0
