order,kH_over_pi,midpoint_magnitude,midpoint_phase_error,physical_branch_amplitude,image_branch_amplitude
4,0.0,1.0,0.0,1.0,0.0
4,0.000244140625,0.9999999999999919,7.541189320680945e-21,0.999999999999996,3.9968028886523424e-15
4,0.00048828125,0.9999999999998703,-9.13876937169791e-20,0.9999999999999352,6.483702463812525e-14
4,0.000732421875,0.9999999999993429,2.126515300600914e-19,0.9999999999996714,3.285705041378323e-13
4,0.0009765625,0.9999999999979235,1.5997657086688467e-19,0.9999999999989617,1.0382805726294494e-12
4,0.001220703125,0.9999999999949306,1.249592699185694e-19,0.9999999999974652,2.5347501875216957e-12
4,0.00146484375,0.9999999999894882,5.814265688261667e-19,0.9999999999947441,5.255906820877962e-12
4,0.001708984375,0.9999999999805257,-4.483237992247075e-19,0.9999999999902629,9.737155526323707e-12
4,0.001953125,0.9999999999667776,5.320468897369535e-19,0.9999999999833888,1.6611212405592827e-11
4,0.002197265625,0.9999999999467843,2.4445071870651035e-19,0.9999999999733922,2.6607827052771427e-11
4,0.00244140625,0.9999999999188911,2.342882259910295e-19,0.9999999999594456,4.055439317696141e-11
4,0.0026855468749999996,0.9999999998812485,5.40728618423177e-20,0.9999999999406243,5.937572655767553e-11
4,0.0029296875,0.9999999998318129,-4.662232655708248e-19,0.9999999999159064,8.409356544447633e-11
4,0.0031738281250000004,0.9999999997683453,6.4895948260755405e-19,0.9999999998841727,1.1582740322424456e-10
4,0.00341796875,0.9999999996884134,-1.5536956878779146e-18,0.9999999998442066,1.557933226870034e-10
4,0.0036621093749999996,0.9999999995893882,1.3341163849245019e-18,0.9999999997946941,2.0530588340506029e-10
4,0.00390625,0.9999999994684482,-4.4167215778608e-19,0.999999999734224,2.6577595679810884e-10
4,0.004150390625,0.999999999322576,2.1315778447100147e-18,0.999999999661288,3.3871200288970726e-10
4,0.00439453125,0.99999999914856,7.208924786457865e-19,0.99999999957428,4.257200147961271e-10
4,0.004638671875,0.9999999989429932,9.250889129341803e-19,0.9999999994714965,5.285034077040507e-10
4,0.0048828125,0.9999999987022755,2.550616126827064e-18,0.9999999993511378,6.488621862033028e-10
4,0.005126953125,0.9999999984226111,-2.015061438948566e-19,0.9999999992113056,7.886943875767827e-10
4,0.005371093749999999,0.9999999981000097,-3.0315216287709647e-18,0.9999999990500048,9.49995193622044e-10
4,0.005615234375,0.9999999977302864,-1.4861822857696723e-19,0.9999999988651431,1.1348568196289932e-09
4,0.005859375,0.999999997309062,2.010866478277483e-18,0.9999999986545309,1.3454690139802494e-09
4,0.006103515625,0.9999999968317627,5.492924367539976e-19,0.9999999984158814,1.5841186695730869e-09
